,Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg)
181494,13.06.2012 09:30:00,983.99,15.07,289.56,11.1,77.1,17.16,13.23,3.93,8.4,13.44,1183.23,2.71,4.0,18.87
181500,13.06.2012 10:30:00,984.52,15.24,289.69,11.1,76.3,17.34,13.23,4.11,8.4,13.44,1183.17,2.62,3.88,31.09
181506,13.06.2012 11:30:00,984.86,15.86,290.28,10.72,71.5,18.05,12.9,5.14,8.19,13.1,1181.19,1.95,3.92,52.8
181512,13.06.2012 12:30:00,985.18,16.21,290.61,10.64,69.51,18.46,12.83,5.63,8.14,13.02,1180.18,3.28,5.68,24.02
181518,13.06.2012 13:30:00,985.31,16.72,291.11,10.21,65.4,19.07,12.47,6.6,7.91,12.65,1178.42,3.52,5.36,25.32
181524,13.06.2012 14:30:00,985.66,16.83,291.19,10.51,66.25,19.2,12.72,6.48,8.07,12.9,1178.28,1.16,2.0,86.8
181530,13.06.2012 15:30:00,986.02,14.65,288.97,12.07,84.5,16.7,14.11,2.59,8.95,14.31,1187.01,3.01,4.36,260.3
181536,13.06.2012 16:30:00,986.77,12.82,287.07,11.39,91.0,14.82,13.49,1.33,8.55,13.67,1195.8,2.53,4.04,261.0
181542,13.06.2012 17:30:00,987.27,13.06,287.27,11.74,91.7,15.06,13.81,1.25,8.75,13.99,1195.26,2.9,4.7,245.5
181548,13.06.2012 18:30:00,987.77,12.99,287.16,11.67,91.7,14.99,13.74,1.24,8.7,13.91,1196.19,0.89,1.72,171.8
181554,13.06.2012 19:30:00,988.25,12.51,286.64,11.31,92.4,14.52,13.42,1.1,8.49,13.58,1198.94,1.07,2.96,215.9
181560,13.06.2012 20:30:00,988.78,12.26,286.34,11.32,94.0,14.29,13.43,0.86,8.49,13.58,1200.63,1.3,2.44,230.3
181566,13.06.2012 21:30:00,989.28,11.85,285.89,11.01,94.6,13.91,13.15,0.75,8.31,13.3,1203.09,3.16,4.16,243.6
181572,13.06.2012 22:30:00,989.85,11.58,285.57,10.73,94.5,13.66,12.91,0.75,8.15,13.04,1205.05,1.76,3.2,242.8
181578,13.06.2012 23:30:00,990.38,11.29,285.24,10.54,95.1,13.4,12.74,0.66,8.04,12.87,1207.0,1.45,2.4,127.2
181584,14.06.2012 00:30:00,990.7,10.82,284.74,10.02,94.8,12.99,12.31,0.68,7.77,12.43,1209.59,1.7,3.3,238.2
181590,14.06.2012 01:30:00,990.97,10.58,284.48,9.85,95.2,12.78,12.17,0.61,7.67,12.28,1211.01,1.61,2.28,236.2
181596,14.06.2012 02:30:00,991.11,10.37,284.26,9.68,95.5,12.6,12.04,0.57,7.59,12.14,1212.14,1.3,2.08,217.1
181602,14.06.2012 03:30:00,991.32,10.4,284.27,9.73,95.6,12.63,12.07,0.56,7.61,12.18,1212.25,1.06,2.08,139.0
181608,14.06.2012 04:30:00,991.46,10.49,284.35,9.87,95.9,12.7,12.18,0.52,7.68,12.29,1211.99,0.66,1.24,162.8
181614,14.06.2012 05:30:00,991.94,10.68,284.5,9.69,93.6,12.87,12.04,0.82,7.59,12.14,1211.83,0.44,1.2,342.9
181620,14.06.2012 06:30:00,992.19,10.59,284.39,9.62,93.7,12.79,11.98,0.81,7.55,12.08,1212.55,0.78,1.92,32.97
181626,14.06.2012 07:30:00,992.56,10.68,284.45,9.85,94.6,12.87,12.17,0.69,7.66,12.26,1212.53,0.37,1.0,98.0
181632,14.06.2012 08:30:00,992.89,10.76,284.5,9.84,94.0,12.93,12.16,0.78,7.65,12.25,1212.6,1.07,1.76,73.1
181638,14.06.2012 09:30:00,993.26,10.5,284.21,9.4,92.9,12.71,11.81,0.9,7.43,11.89,1214.33,2.16,2.96,47.27
181644,14.06.2012 10:30:00,993.53,10.56,284.25,9.75,94.7,12.76,12.09,0.68,7.6,12.17,1214.28,0.42,0.92,53.47
181650,14.06.2012 11:30:00,993.77,11.13,284.8,9.75,91.2,13.26,12.09,1.17,7.6,12.17,1212.13,0.96,1.42,42.17
181656,14.06.2012 12:30:00,993.54,11.54,285.23,9.79,89.0,13.62,12.12,1.5,7.63,12.2,1210.09,1.57,2.12,31.42
181662,14.06.2012 13:30:00,993.49,11.97,285.66,10.01,87.8,14.02,12.31,1.71,7.74,12.39,1208.13,1.19,1.96,42.19
181668,14.06.2012 14:30:00,993.32,12.54,286.25,10.04,84.7,14.55,12.33,2.23,7.75,12.41,1205.5,1.05,1.84,71.3
181674,14.06.2012 15:30:00,993.07,13.7,287.43,10.11,78.9,15.7,12.39,3.31,7.8,12.47,1200.29,1.62,2.56,127.2
181680,14.06.2012 16:30:00,992.71,14.26,288.02,9.82,74.6,16.28,12.15,4.14,7.65,12.23,1197.63,1.2,2.72,102.7
181686,14.06.2012 17:30:00,992.5,15.37,289.15,10.3,71.7,17.49,12.54,4.95,7.9,12.63,1192.58,2.02,3.36,123.1
181692,14.06.2012 18:30:00,992.59,15.16,288.93,9.33,68.09,17.26,11.75,5.51,7.4,11.84,1193.92,2.17,3.36,137.2
181698,14.06.2012 19:30:00,992.48,14.31,288.09,10.34,77.0,16.33,12.58,3.76,7.92,12.67,1196.94,2.6,3.8,109.6
181704,14.06.2012 20:30:00,992.96,13.07,286.81,10.43,84.0,15.07,12.66,2.41,7.97,12.75,1202.67,0.81,1.6,190.3
181710,14.06.2012 21:30:00,993.29,12.1,285.81,10.26,88.5,14.14,12.51,1.63,7.87,12.6,1207.24,0.39,0.64,11.07
181716,14.06.2012 22:30:00,993.31,11.07,284.78,10.02,93.2,13.2,12.31,0.9,7.74,12.39,1211.73,0.36,0.52,26.07
181722,14.06.2012 23:30:00,993.49,10.41,284.1,9.69,95.3,12.64,12.04,0.59,7.57,12.12,1214.89,0.31,1.24,297.6
181728,15.06.2012 00:30:00,993.29,9.82,283.53,9.29,96.5,12.15,11.72,0.43,7.37,11.8,1217.33,0.52,0.68,216.3
181734,15.06.2012 01:30:00,993.29,9.02,282.72,8.65,97.5,11.51,11.22,0.29,7.06,11.3,1221.01,0.81,1.4,204.5
181740,15.06.2012 02:30:00,993.1,8.65,282.37,8.43,98.5,11.22,11.06,0.17,6.95,11.13,1222.46,1.03,1.48,199.0
181746,15.06.2012 03:30:00,992.87,8.24,281.98,8.08,98.9,10.92,10.8,0.12,6.79,10.87,1224.08,1.3,1.64,150.8
181752,15.06.2012 04:30:00,992.89,8.19,281.92,8.07,99.2,10.88,10.79,0.09,6.79,10.87,1224.32,2.1,2.68,179.4
181758,15.06.2012 05:30:00,992.93,8.23,281.96,8.16,99.5,10.91,10.85,0.05,6.83,10.93,1224.17,1.73,2.32,180.9
181764,15.06.2012 06:30:00,992.79,9.09,282.83,8.99,99.3,11.56,11.48,0.08,7.23,11.57,1219.97,1.9,2.82,167.7
181770,15.06.2012 07:30:00,992.39,11.07,284.85,10.61,97.0,13.2,12.81,0.4,8.07,12.91,1210.37,1.93,3.32,163.3
181776,15.06.2012 08:30:00,991.8,14.1,287.94,12.64,90.9,16.11,14.65,1.47,9.24,14.77,1196.04,2.2,3.4,149.3
181782,15.06.2012 09:30:00,991.62,17.19,291.05,11.33,68.38,19.64,13.43,6.21,8.47,13.54,1183.65,2.47,4.24,149.3
181788,15.06.2012 10:30:00,991.32,18.75,292.64,11.02,60.75,21.67,13.16,8.5,8.3,13.28,1177.09,4.51,6.72,188.5
181794,15.06.2012 11:30:00,990.9,20.55,294.48,11.37,55.6,24.23,13.47,10.76,8.5,13.6,1169.24,3.22,5.04,164.3
181800,15.06.2012 12:30:00,990.35,21.35,295.33,12.03,55.28,25.45,14.07,11.38,8.88,14.21,1165.14,2.3,5.2,158.8
181806,15.06.2012 13:30:00,990.12,21.79,295.79,12.5,55.51,26.14,14.51,11.63,9.17,14.66,1162.93,1.99,3.04,185.1
181812,15.06.2012 14:30:00,989.86,21.96,295.98,12.2,53.87,26.42,14.23,12.19,8.99,14.38,1162.08,3.79,5.64,200.4
181818,15.06.2012 15:30:00,989.63,21.57,295.61,12.86,57.61,25.8,14.86,10.93,9.39,15.02,1163.07,1.91,3.22,176.2
181824,15.06.2012 16:30:00,989.11,22.52,296.61,13.3,55.95,27.33,15.29,12.04,9.67,15.46,1158.53,2.47,4.04,161.7
181830,15.06.2012 17:30:00,988.42,23.45,297.6,13.84,54.79,28.91,15.84,13.07,10.03,16.03,1153.84,2.99,5.84,189.5
181836,15.06.2012 18:30:00,988.7,23.07,297.19,12.8,52.38,28.26,14.8,13.46,9.36,14.97,1156.11,3.13,4.96,221.9
181842,15.06.2012 19:30:00,989.1,22.38,296.47,12.61,53.96,27.1,14.62,12.48,9.25,14.78,1159.36,2.77,4.42,240.5
181848,15.06.2012 20:30:00,989.59,21.21,295.25,12.61,57.95,25.23,14.62,10.61,9.24,14.78,1164.55,1.44,1.92,267.2
181854,15.06.2012 21:30:00,989.78,19.28,293.3,12.77,65.95,22.4,14.77,7.63,9.33,14.92,1172.39,2.73,3.24,234.7
181860,15.06.2012 22:30:00,990.01,18.6,292.6,12.61,68.09,21.47,14.62,6.85,9.23,14.76,1175.47,3.32,3.62,242.3
181866,15.06.2012 23:30:00,990.1,17.28,291.27,12.69,74.4,19.75,14.7,5.06,9.29,14.84,1180.88,2.08,2.8,222.3
181872,16.06.2012 00:30:00,989.84,15.65,289.65,12.83,83.3,17.81,14.83,2.97,9.37,14.99,1187.17,1.39,2.4,206.1
181878,16.06.2012 01:30:00,990.13,15.63,289.61,12.72,82.8,17.78,14.73,3.06,9.3,14.87,1187.65,0.73,1.44,192.5
181884,16.06.2012 02:30:00,989.74,14.93,288.94,12.63,86.1,17.0,14.64,2.36,9.25,14.79,1190.11,0.99,2.04,193.7
181890,16.06.2012 03:30:00,989.38,12.96,287.0,11.95,93.6,14.96,14.0,0.96,8.85,14.15,1198.16,0.82,2.12,99.1
181896,16.06.2012 04:30:00,989.29,12.9,286.94,11.96,94.0,14.9,14.01,0.89,8.85,14.16,1198.3,0.8,1.12,32.65
181902,16.06.2012 05:30:00,989.52,14.61,288.64,12.35,86.3,16.65,14.37,2.28,9.08,14.52,1191.29,1.02,2.0,203.5
181908,16.06.2012 06:30:00,989.73,15.45,289.46,12.71,83.7,17.58,14.71,2.87,9.3,14.87,1187.92,0.85,1.44,208.9
181914,16.06.2012 07:30:00,989.63,15.96,289.98,14.37,90.3,18.16,16.4,1.76,10.37,16.57,1184.93,0.5,1.04,19.75
181920,16.06.2012 08:30:00,989.45,19.67,293.72,16.01,79.4,22.95,18.22,4.73,11.53,18.41,1168.89,1.34,1.96,140.7
181926,16.06.2012 09:30:00,989.42,23.92,297.99,15.49,59.26,29.74,17.63,12.12,11.16,17.81,1152.39,7.1,11.37,206.9
181932,16.06.2012 10:30:00,989.16,24.84,298.93,13.39,48.95,31.43,15.38,16.04,9.73,15.55,1149.52,5.97,10.21,207.0
181938,16.06.2012 11:30:00,989.29,25.61,299.69,13.82,48.09,32.9,15.82,17.08,10.01,15.99,1146.52,3.27,6.08,246.3
181944,16.06.2012 12:30:00,989.64,24.43,298.48,14.11,52.56,30.67,16.12,14.55,10.19,16.29,1151.34,3.0,5.76,258.6
181950,16.06.2012 13:30:00,989.85,21.92,295.94,14.5,62.74,26.35,16.53,9.82,10.46,16.7,1161.2,2.36,5.44,253.2
181956,16.06.2012 14:30:00,990.14,21.72,295.72,14.01,61.55,26.03,16.02,10.01,10.13,16.18,1162.56,1.21,3.74,271.8
181962,16.06.2012 15:30:00,990.17,21.32,295.31,12.62,57.57,25.4,14.62,10.78,9.24,14.77,1164.8,2.19,5.86,251.8
181968,16.06.2012 16:30:00,989.85,21.29,295.31,13.24,60.07,25.36,15.23,10.13,9.63,15.39,1164.27,2.23,5.84,262.2
181974,16.06.2012 17:30:00,989.83,20.75,294.77,12.98,61.07,24.53,14.98,9.55,9.47,15.13,1166.5,1.21,2.8,259.8
181980,16.06.2012 18:30:00,989.78,21.09,295.12,13.32,61.15,25.05,15.32,9.73,9.68,15.47,1164.94,0.86,1.8,316.7
181986,16.06.2012 19:30:00,990.16,19.89,293.88,13.29,65.73,23.26,15.29,7.97,9.66,15.44,1170.17,0.94,1.66,181.3
181992,16.06.2012 20:30:00,990.87,19.37,293.3,13.23,67.61,22.52,15.23,7.29,9.61,15.37,1173.13,1.6,2.92,271.5
181998,16.06.2012 21:30:00,992.29,18.09,291.9,9.61,57.6,20.79,11.97,8.81,7.54,12.07,1181.45,2.81,5.9,260.1
182004,16.06.2012 22:30:00,992.39,17.11,290.9,9.31,60.07,19.54,11.74,7.8,7.39,11.83,1185.67,2.19,3.56,253.9
182010,16.06.2012 23:30:00,992.06,16.06,289.88,10.0,67.24,18.28,12.29,5.99,7.74,12.39,1189.32,2.45,3.2,227.8
182016,17.06.2012 00:30:00,992.22,16.19,290.0,10.18,67.51,18.43,12.44,5.99,7.84,12.54,1188.91,2.22,3.08,194.8
182022,17.06.2012 01:30:00,992.17,15.83,289.64,9.61,66.48,18.01,11.98,6.04,7.54,12.07,1190.55,1.31,1.92,240.4
182028,17.06.2012 02:30:00,992.68,16.12,289.89,9.12,63.13,18.35,11.58,6.77,7.29,11.67,1190.14,1.53,2.32,255.2
182034,17.06.2012 03:30:00,992.8,15.17,288.93,9.77,70.1,17.27,12.1,5.16,7.62,12.19,1193.97,1.37,2.76,230.7
182040,17.06.2012 04:30:00,993.35,14.74,288.45,9.98,73.1,16.79,12.28,4.52,7.72,12.36,1196.34,1.41,2.96,266.0
182046,17.06.2012 05:30:00,994.26,14.8,288.43,10.3,74.4,16.86,12.54,4.32,7.88,12.62,1197.07,1.97,3.64,214.0
182052,17.06.2012 06:30:00,994.72,15.24,288.84,10.54,73.5,17.34,12.75,4.6,8.01,12.82,1195.7,2.08,3.72,218.9
182058,17.06.2012 07:30:00,994.6,15.32,288.93,10.29,71.9,17.43,12.53,4.9,7.88,12.6,1195.32,3.7,5.36,217.6
182064,17.06.2012 08:30:00,995.74,15.62,289.13,10.58,71.9,17.77,12.78,4.99,8.02,12.83,1195.35,3.9,5.04,202.3
182070,17.06.2012 09:30:00,995.81,16.02,289.53,10.36,69.07,18.23,12.59,5.64,7.9,12.65,1193.87,3.8,6.04,213.1
182076,17.06.2012 10:30:00,996.1,17.82,291.31,10.65,62.82,20.44,12.84,7.6,8.06,12.89,1186.71,3.37,5.64,209.5
182082,17.06.2012 11:30:00,996.14,19.14,292.62,10.32,56.58,22.2,12.56,9.64,7.88,12.61,1181.53,3.92,6.52,198.3
182088,17.06.2012 12:30:00,996.01,20.17,293.67,10.14,52.43,23.67,12.41,11.26,7.79,12.46,1177.29,3.48,5.72,235.8
182094,17.06.2012 13:30:00,995.69,20.64,294.16,8.76,46.41,24.36,11.31,13.06,7.09,11.36,1175.52,4.88,7.57,207.8
182100,17.06.2012 14:30:00,995.64,21.48,295.01,9.36,45.91,25.65,11.78,13.88,7.39,11.83,1171.91,4.21,6.16,220.5
182106,17.06.2012 15:30:00,995.27,22.37,295.93,9.28,43.23,27.08,11.71,15.38,7.35,11.76,1167.97,4.44,6.54,221.8
182112,17.06.2012 16:30:00,994.98,22.96,296.55,9.44,42.19,28.07,11.84,16.23,7.44,11.9,1165.24,2.99,4.52,235.7
182118,17.06.2012 17:30:00,994.72,23.13,296.74,9.27,41.28,28.36,11.71,16.65,7.35,11.77,1164.33,3.13,4.72,185.9
182124,17.06.2012 18:30:00,994.69,23.19,296.8,9.14,40.76,28.46,11.6,16.86,7.29,11.66,1164.11,1.98,2.84,202.8
182130,17.06.2012 19:30:00,994.61,21.48,295.1,8.35,42.87,25.65,11.0,14.66,6.91,11.06,1171.03,1.51,1.8,246.5
182136,17.06.2012 20:30:00,994.65,19.73,293.34,9.57,51.85,23.03,11.94,11.09,7.5,12.01,1177.65,0.78,1.2,75.9
182142,17.06.2012 21:30:00,994.88,17.69,291.28,10.02,60.72,20.27,12.31,7.96,7.73,12.37,1186.03,0.23,0.44,57.84
182148,17.06.2012 22:30:00,994.45,16.08,289.7,10.15,67.86,18.3,12.42,5.88,7.81,12.49,1192.06,1.08,1.6,41.86
182154,17.06.2012 23:30:00,994.32,15.31,288.94,9.68,69.05,17.42,12.03,5.39,7.56,12.1,1195.27,1.31,1.58,218.9
182160,18.06.2012 00:30:00,993.93,13.9,287.56,10.36,79.2,15.9,12.6,3.31,7.92,12.67,1200.4,0.35,0.6,294.1
182166,18.06.2012 01:30:00,993.52,12.73,286.42,10.21,84.6,14.74,12.47,2.27,7.84,12.55,1204.87,0.71,1.06,216.7
182172,18.06.2012 02:30:00,992.78,12.43,286.18,10.09,85.6,14.45,12.37,2.08,7.78,12.46,1205.28,0.61,1.36,222.2
182178,18.06.2012 03:30:00,992.04,11.81,285.62,9.96,88.4,13.87,12.26,1.61,7.72,12.36,1207.05,0.8,1.7,178.1
182184,18.06.2012 04:30:00,991.47,11.59,285.45,9.91,89.4,13.67,12.22,1.45,7.7,12.32,1207.3,0.46,0.84,179.1
182190,18.06.2012 05:30:00,990.89,12.9,286.81,10.16,83.4,14.9,12.43,2.47,7.84,12.54,1200.97,0.73,1.1,178.4
182196,18.06.2012 06:30:00,990.22,15.65,289.62,11.12,74.4,17.81,13.25,4.56,8.36,13.38,1188.35,0.54,0.84,196.9
182202,18.06.2012 07:30:00,989.88,18.94,292.95,12.39,65.71,21.93,14.41,7.52,9.1,14.56,1174.04,0.7,1.24,207.8
182208,18.06.2012 08:30:00,989.6,20.81,294.85,13.61,63.38,24.62,15.6,9.02,9.87,15.77,1165.71,1.4,2.56,156.2
182214,18.06.2012 09:30:00,988.71,21.91,296.03,14.48,62.72,26.34,16.52,9.82,10.46,16.71,1159.9,0.77,1.64,193.8
182220,18.06.2012 10:30:00,987.92,22.9,297.09,15.58,63.39,27.97,17.73,10.24,11.24,17.95,1154.55,0.78,1.28,232.1
182226,18.06.2012 11:30:00,987.0,24.69,298.97,17.06,62.54,31.15,19.48,11.67,12.37,19.74,1145.77,3.07,5.04,164.5
182232,18.06.2012 12:30:00,986.47,28.53,302.87,17.86,52.48,39.04,20.49,18.55,13.02,20.77,1130.13,6.06,10.28,189.7
182238,18.06.2012 13:30:00,986.69,29.29,303.61,15.2,42.4,40.79,17.3,23.5,10.98,17.53,1128.93,4.67,6.8,202.9
182244,18.06.2012 14:30:00,986.52,29.27,303.61,14.77,41.29,40.74,16.82,23.92,10.68,17.05,1129.02,4.85,6.76,207.2
182250,18.06.2012 15:30:00,986.47,30.41,304.76,14.57,38.19,43.5,16.61,26.89,10.54,16.84,1124.81,4.48,6.6,235.3
182256,18.06.2012 16:30:00,986.93,30.05,304.35,15.43,41.2,42.61,17.56,25.06,11.14,17.79,1126.27,3.3,7.36,246.3
182262,18.06.2012 17:30:00,987.41,29.48,303.74,15.11,41.71,41.24,17.2,24.04,10.91,17.42,1129.09,3.12,6.44,260.9
182268,18.06.2012 18:30:00,988.0,27.89,302.09,15.46,46.77,37.61,17.59,20.02,11.15,17.81,1135.57,3.45,6.0,267.1
182274,18.06.2012 19:30:00,988.72,25.51,299.64,16.06,55.91,32.7,18.28,14.42,11.58,18.49,1145.15,2.15,4.46,263.4
182280,18.06.2012 20:30:00,990.09,22.57,296.57,14.61,60.74,27.42,16.65,10.76,10.53,16.82,1158.88,1.71,4.56,270.8
182286,18.06.2012 21:30:00,991.33,20.09,293.98,13.16,64.35,23.55,15.15,8.4,9.56,15.29,1170.82,1.46,2.4,249.6
182292,18.06.2012 22:30:00,992.31,18.93,292.74,12.57,66.53,21.91,14.58,7.33,9.19,14.69,1176.9,0.59,1.94,331.3
182298,18.06.2012 23:30:00,993.14,17.96,291.69,12.14,68.72,20.62,14.17,6.45,8.92,14.27,1182.01,1.79,2.72,243.7
182304,19.06.2012 00:30:00,994.2,17.7,291.34,12.95,73.7,20.29,14.95,5.33,9.41,15.04,1183.98,1.0,2.44,44.11
182310,19.06.2012 01:30:00,994.41,16.96,290.59,11.97,72.4,19.36,14.02,5.34,8.81,14.09,1187.67,1.71,2.74,3.37
182316,19.06.2012 02:30:00,994.51,16.76,290.38,11.98,73.4,19.11,14.03,5.08,8.82,14.11,1188.6,1.13,1.92,339.1
182322,19.06.2012 03:30:00,994.4,16.38,290.01,12.03,75.4,18.66,14.07,4.59,8.85,14.15,1190.02,1.05,1.6,31.93
182328,19.06.2012 04:30:00,994.31,15.08,288.71,12.11,82.4,17.17,14.15,3.02,8.9,14.23,1195.24,1.31,1.8,7.33
182334,19.06.2012 05:30:00,994.41,14.93,288.55,11.96,82.4,17.0,14.01,2.99,8.81,14.09,1196.04,1.22,2.04,345.4
182340,19.06.2012 06:30:00,994.3,16.09,289.72,11.96,76.5,18.32,14.01,4.3,8.81,14.09,1191.12,2.92,3.96,31.78
182346,19.06.2012 07:30:00,994.49,17.53,291.15,11.75,68.84,20.07,13.82,6.25,8.69,13.89,1185.53,2.88,5.0,62.09
182352,19.06.2012 08:30:00,994.49,18.24,291.86,11.42,64.42,20.99,13.52,7.47,8.5,13.59,1182.77,2.9,4.56,54.75
182358,19.06.2012 09:30:00,993.9,19.65,293.32,12.75,64.36,22.92,14.75,8.17,9.28,14.84,1175.82,2.85,4.68,62.84
182364,19.06.2012 10:30:00,993.65,19.94,293.63,13.05,64.47,23.33,15.04,8.29,9.47,15.14,1174.24,3.37,4.92,57.53
182370,19.06.2012 11:30:00,993.16,21.61,295.35,13.59,60.27,25.86,15.58,10.27,9.82,15.69,1166.76,2.67,4.94,59.23
182376,19.06.2012 12:30:00,992.69,22.3,296.08,13.89,58.94,26.97,15.9,11.07,10.02,16.01,1163.34,4.07,5.84,27.55
182382,19.06.2012 13:30:00,992.2,23.29,297.11,14.32,57.07,28.64,16.34,12.29,10.31,16.47,1158.68,4.84,6.89,42.45
182388,19.06.2012 14:30:00,991.96,23.55,297.4,14.44,56.64,29.09,16.48,12.61,10.4,16.61,1157.32,5.16,7.73,30.39
182394,19.06.2012 15:30:00,991.4,23.31,297.2,14.67,58.3,28.67,16.72,11.96,10.55,16.86,1157.5,5.1,7.04,41.03
182400,19.06.2012 16:30:00,991.08,23.5,297.42,14.79,58.09,29.0,16.85,12.15,10.64,17.0,1156.32,3.79,5.68,75.2
182406,19.06.2012 17:30:00,990.59,23.19,297.15,14.58,58.39,28.46,16.62,11.84,10.5,16.78,1157.06,2.92,4.5,62.18
182412,19.06.2012 18:30:00,990.36,22.65,296.63,14.14,58.65,27.55,16.16,11.39,10.21,16.31,1159.1,3.38,5.04,63.05
182418,19.06.2012 19:30:00,990.57,22.28,296.24,14.07,59.7,26.94,16.08,10.86,10.16,16.23,1160.84,2.76,4.44,19.04
182424,19.06.2012 20:30:00,990.19,20.65,294.64,14.08,65.99,24.38,16.09,8.29,10.17,16.25,1166.82,2.29,3.28,358.6
182430,19.06.2012 21:30:00,990.19,19.72,293.71,14.23,70.6,23.02,16.25,6.77,10.27,16.41,1170.45,2.11,3.14,32.09
182436,19.06.2012 22:30:00,989.77,18.92,292.94,14.21,74.1,21.9,16.23,5.67,10.26,16.39,1173.17,1.41,2.96,36.82
182442,19.06.2012 23:30:00,989.93,18.23,292.23,14.45,78.6,20.97,16.48,4.49,10.42,16.65,1176.02,1.65,4.72,275.9
182448,20.06.2012 00:30:00,991.04,16.22,290.13,14.65,90.4,18.47,16.69,1.77,10.55,16.85,1185.43,2.09,3.76,242.0
182454,20.06.2012 01:30:00,990.26,15.88,289.85,14.9,93.9,18.07,16.97,1.1,10.73,17.14,1185.76,2.48,4.2,28.88
182460,20.06.2012 02:30:00,988.76,15.82,289.92,14.92,94.4,18.0,16.99,1.01,10.76,17.19,1184.19,1.79,2.8,2.49
182466,20.06.2012 03:30:00,988.91,15.91,289.99,15.21,95.6,18.11,17.31,0.8,10.96,17.5,1183.86,1.31,2.36,164.6
182472,20.06.2012 04:30:00,988.29,15.91,290.05,15.03,94.5,18.11,17.11,1.0,10.84,17.31,1183.2,0.91,1.58,219.3
182478,20.06.2012 05:30:00,988.37,16.07,290.2,15.01,93.4,18.29,17.08,1.21,10.82,17.29,1182.65,0.35,1.36,3.96
182484,20.06.2012 06:30:00,987.98,16.13,290.29,14.98,92.9,18.36,17.06,1.3,10.81,17.27,1181.95,1.98,2.74,43.35
182490,20.06.2012 07:30:00,988.35,16.39,290.52,15.24,92.9,18.67,17.34,1.33,10.99,17.55,1181.2,0.74,1.12,342.2
182496,20.06.2012 08:30:00,987.99,16.39,290.55,15.57,94.9,18.67,17.72,0.95,11.23,17.93,1180.6,1.84,2.52,34.74
182502,20.06.2012 09:30:00,987.82,17.21,291.39,15.92,92.1,19.67,18.11,1.55,11.48,18.34,1176.88,2.44,3.3,49.62
182508,20.06.2012 10:30:00,987.58,18.38,292.58,16.16,86.9,21.17,18.4,2.77,11.67,18.63,1171.75,2.44,3.32,29.68
182514,20.06.2012 11:30:00,987.59,18.04,292.24,16.36,89.9,20.72,18.63,2.09,11.82,18.87,1173.02,2.87,3.62,40.1
182520,20.06.2012 12:30:00,987.52,18.16,292.37,16.62,90.7,20.88,18.94,1.94,12.02,19.18,1172.31,3.07,3.88,31.47
182526,20.06.2012 13:30:00,987.38,17.86,292.08,16.39,91.1,20.49,18.67,1.82,11.84,18.91,1173.48,3.92,5.2,25.44
182532,20.06.2012 14:30:00,987.09,18.03,292.27,16.76,92.3,20.71,19.12,1.59,12.13,19.37,1172.24,3.11,4.7,30.66
182538,20.06.2012 15:30:00,986.96,17.99,292.25,16.67,92.0,20.66,19.01,1.65,12.07,19.26,1172.3,3.2,4.24,26.67
182544,20.06.2012 16:30:00,986.67,17.92,292.2,16.76,92.9,20.57,19.11,1.46,12.13,19.37,1172.19,3.69,5.56,33.42
182550,20.06.2012 17:30:00,986.41,17.52,291.82,16.78,95.4,20.06,19.13,0.92,12.15,19.4,1173.48,3.25,4.32,28.28
182556,20.06.2012 18:30:00,986.52,17.33,291.62,16.7,96.1,19.82,19.04,0.77,12.1,19.3,1174.42,2.99,4.2,25.63
182562,20.06.2012 19:30:00,986.03,17.24,291.57,16.76,97.0,19.7,19.11,0.59,12.15,19.38,1174.16,2.8,4.84,21.97
182568,20.06.2012 20:30:00,985.82,16.94,291.29,16.56,97.6,19.33,18.87,0.46,11.99,19.14,1175.23,2.48,3.96,40.06
182574,20.06.2012 21:30:00,986.66,16.75,291.03,16.46,98.2,19.1,18.76,0.34,11.91,19.01,1177.06,2.78,5.4,46.36
182580,20.06.2012 22:30:00,986.37,16.26,290.56,15.98,98.2,18.51,18.18,0.33,11.55,18.43,1178.97,4.86,6.13,23.04
182586,20.06.2012 23:30:00,985.97,15.75,290.08,15.39,97.7,17.92,17.51,0.41,11.12,17.76,1180.88,4.18,6.09,17.9
182592,21.06.2012 00:30:00,986.05,15.53,289.85,15.17,97.7,17.67,17.26,0.41,10.96,17.51,1181.98,1.26,2.0,8.22
182598,21.06.2012 01:30:00,985.97,15.39,289.72,14.93,97.1,17.51,17.0,0.51,10.8,17.25,1182.58,1.58,3.6,4.53
182604,21.06.2012 02:30:00,985.73,15.2,289.55,14.84,97.7,17.3,16.9,0.4,10.73,17.15,1183.12,0.83,1.52,18.21
182610,21.06.2012 03:30:00,985.68,14.81,289.16,14.48,97.9,16.87,16.52,0.35,10.49,16.76,1184.83,2.22,3.6,12.1
182616,21.06.2012 04:30:00,985.57,14.57,288.93,14.32,98.4,16.61,16.35,0.27,10.38,16.58,1185.77,2.81,4.24,31.72
182622,21.06.2012 05:30:00,986.01,14.1,288.42,13.91,98.8,16.11,15.92,0.19,10.1,16.15,1188.44,3.57,4.86,36.22
182628,21.06.2012 06:30:00,986.04,14.05,288.37,13.88,98.9,16.06,15.88,0.18,10.08,16.11,1188.7,3.75,5.09,37.92
